,title,repro_index
158,APOBEC3B Promotes SARS-CoV-2 Through Activation of PKR/eIF2⍺ and AMPD2 Dysregulation.,
159,Multi-modal characterization of metabolic and immune gene clusters in adrenocortical carcinoma treatment.,
160,Deep learning in chromatin organization: from super-resolution microscopy to clinical applications.,
161,CART-GPT: A T Cell-Informed AI Linguistic Framework for Interpreting Neurotoxicity and Therapeutic Outcomes in CAR-T Therapy.,
162,SANNO: A Graph-Transformer Enhanced Optimal Transport Tool for Spatial Transcriptomic Annotation.,
163,scGPT: end-to-end protocol for fine-tuned retinal cell type annotation.,
164,A review of transformer models in drug discovery and beyond.,
165,CellMemory: hierarchical interpretation of out-of-distribution cells using bottlenecked transformer.,
166,Integrating AI/ML and multi-omics approaches to investigate the role of TNFRSF10A/TRAILR1 and its potential targets in pancreatic cancer.,
167,Transformer-based artificial intelligence on single-cell clinical data for homeostatic mechanism inference and rational biomarker discovery.,
168,SENSITIVITY BASED MODEL AGNOSTIC SCALABLE EXPLANATIONS OF DEEP LEARNING.,
169,Towards the Next Generation of Data-Driven Therapeutics Using Spatially Resolved Single-Cell Technologies and Generative AI.,
170,SEE: A Method for Predicting the Dynamics of Chromatin Conformation Based on Single-Cell Gene Expression.,
171,Advancing plant single-cell genomics with foundation models.,
172,Transformers in single-cell omics: a review and new perspectives.,
173,xSiGra: explainable model for single-cell spatial data elucidation.,
174,The multimodality cell segmentation challenge: toward universal solutions.,
175,Innovative super-resolution in spatial transcriptomics: a transformer model exploiting histology images and spatial gene expression.,
176,Unbiased single-cell morphology with self-supervised vision transformers.,
177,CpG Transformer for imputation of single-cell methylomes.,
178,Single Cell Inference of Cancer Drug Response Using Pathway‐Based Transformer Network,
179,MarsGT: Multi-omics analysis for rare population inference using single-cell graph transformer,
180,Single-cell biological network inference using a heterogeneous graph transformer,
181,STGRNS: an interpretable transformer-based method for inferring gene regulatory networks from single-cell transcriptomic data,
182,CIForm as a Transformer-based model for cell-type annotation of large-scale single-cell RNA-seq data,
183,TransCluster: A Cell-Type Identification Method for single-cell RNA-Seq data using deep learning based on transformer,
184,GRLGRN: graph representation-based learning to infer gene regulatory networks from single-cell RNA-seq data,
185,"Inferring single-cell resolution spatial gene expression via fusing spot-based spatial transcriptomics, location, and histology using GCN",
186,Topology and Control Method of a Single-Cell Matrix-Type Solid-State Transformer,
187,scEMB: Learning context representation of genes based on large-scale single-cell transcriptomics,
188,Transformer-based deep learning for accurate detection of multiple base modifications using single molecule real-time sequencing,
189,Demonstration of transformer-based ALBERT model on a 14nm analog AI inference chip,
190,xTrimoGene: An Efficient and Scalable Representation Learner for Single-Cell RNA-Seq Data,
191,Single-Cell Raman Profiling Enables Rapid Precision Phage Therapy Against Multidrug-Resistant Hypervirulent Klebsiella pneumoniae,
192,DeepMAPS: Single-cell biological network inference using heterogeneous graph,
193,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,
194,Multimodal foundation transformer models for multiscale genomics,
195,A novel sequence-based transformer model architecture for integrating multi-omics data in preterm birth risk prediction,
196,MetaLLM: Residue-wise Metal ion Prediction Using Deep Transformer Model,
197,Single Cells Are Spatial Tokens: Transformers for Spatial Transcriptomic Data Imputation,
198,Deciphering cell types by integrating scATAC-seq data with genome sequences,
199,Self-Supervised Learning of Phenotypic Representations from Cell Images with Weak Labels,
200,scFed: federated learning for cell type classification with scRNA-seq,
201,SToFM: a Multi-scale Foundation Model for Spatial Transcriptomics,
202,A Microprocessor Resource-Saving Dual Active Bridge Control for Startup and Restart of Three-Stage Modular Solid-State Transformer,
203,"Solid-State Transformer for Power Distribution Grid Based on a Hybrid Switched-Capacitor LLC-SRC Converter: Analysis, Design, and Experimentation",
204,"HybridDeepSynergy: A hybrid deep learning model integrating CNN, LSTM, and attention mechanisms for cancer drug synergy prediction",
205,scTransSort: Transformers for Intelligent Annotation of Cell Types by Gene Embeddings,
206,DiffDecompose: Layer-Wise Decomposition of Alpha-Composited Images via Diffusion Transformers,
207,stFormer: a foundation model for spatial transcriptomics,
208,Empirical evaluation of language modeling to ascertain cancer outcomes from clinical text reports,
209,Block-Recurrent Transformers,
210,"Advancing bioinformatics with large language models: components, applications and perspectives",
211,Solid State Transformers: An Emerging Trend in Power Quality Improvement,
212,Single-cell RNA-seq data augmentation using generative Fourier transformer,
213,TEDDY: A Family Of Foundation Models For Understanding Single Cell Biology,
214,Scaling Dense Representations for Single Cell with Transcriptome-Scale Context,
215,Transformer-Based Hematological Malignancy Prediction from Peripheral Blood Smears in a Real-World Cohort,
216,DVPNet: A New XAI-Based Interpretable Genetic Profiling Framework Using Nucleotide Transformer and Probabilistic Circuits,
217,Multimodal AI predicts clinical outcomes of drug combinations from preclinical data,
218,Abstract 6312: AI-Driven Identification of Drug-Tolerant Persister Cells in Lung Cancer,
219,Artificial intelligence predicts genetic network disruptions to overcome CAR-T resistance in Mantle Cell Lymphoma,
220,What Topological and Geometric Structure Do Biological Foundation Models Learn? Evidence from 141 Hypotheses,
221,Artificial Intelligence to Automate Health Economic Modelling: A Case Study to Evaluate the Potential Application of Large Language Models,
222,STEP: Spatial Transcriptomics Embedding Procedure for Multi-scale Biological Heterogeneities Revelation in Multiple Samples,
223,"Extending Fairness in Single-Cell AI: Evaluating Age, Sex, and Ethnicity Bias with Synthetic Data Augmentation",
224,Single-cell AI-based detection and prognostic and predictive value of DNA mismatch repair deficiency in colorectal cancer,
225,"Precision Recovery After Spinal Cord Injury: Integrating CRISPR Technologies, AI-Driven Therapeutics, Single-Cell Omics, and System Neuroregeneration",
226,A joint analysis of single cell transcriptomics and proteomics using transformer,
227,"scBaseCount: an AI agent-curated, uniformly processed, and autonomously updated single cell data repository",
228,Inferring spatial single-cell-level interactions through interpreting cell state and niche correlations learned by self-supervised graph transformer,
229,HGATLink: single-cell gene regulatory network inference via the fusion of heterogeneous graph attention networks and transformer,
230,Enhancing Single-Cell and Bulk Hi-C Data Using a Generative Transformer Model,
231,scmFormer Integrates Large‐Scale Single‐Cell Proteomics and Transcriptomics Data by Multi‐Task Transformer,
232,Transformer-based Single-Cell Language Model: A Survey,
233,An Agentic AI Framework for Ingestion and Standardization of Single-Cell RNA-seq Data Analysis,
234,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,
235,"Real‐Time Eco–AI, Electrophoresis‐Correlative Data‐Dependent Acquisition with AI‐Based Data Processing Broadens Access to Single‐Cell Mass Spectrometry Proteomics",
236,scGREAT: Transformer-based deep-language model for gene regulatory network inference from single-cell transcriptomics,
237,Fragment-Fusion Transformer: Deep Learning-Based Discretization Method for Continuous Single-Cell Raman Spectral Analysis.,
238,Towards Precision Aging Biology: Single-Cell Multi-Omics and Advanced AI-Driven Strategies,
239,Single-cell research in Latin America and the Caribbean builds genomics datasets for equitable AI-powered precision medicine,
240,Towards a unified framework for single‐cell ‐omics‐based disease prediction through AI,
241,SCassist: an AI based workflow assistant for single-cell analysis,
242,Gene Regulatory Network Inference from Pre-trained Single-Cell Transcriptomics Transformer with Joint Graph Learning,
243,White-Box Diffusion Transformer for single-cell RNA-seq generation,
244,SELF-Former: multi-scale gene filtration transformer for single-cell spatial reconstruction,
245,Contextual AI for Single-cell Therapeutic Target Discovery,
246,SiGra: single-cell spatial elucidation through an image-augmented graph transformer,
247,Exploring the immune escape mechanisms in gastric cancer patients based on the deep AI algorithms and single‐cell sequencing analysis,
248,"Advances in Machine Learning, Statistical Methods, and AI for Single-Cell RNA Annotation Using Raw Count Matrices in scRNA-seq Data",
249,Tahoe-100M: A Giga-Scale Single-Cell Perturbation Atlas for Context-Dependent Gene Function and Cellular Modeling,
250,A Unified Deep Learning Framework for Single-Cell ATAC-Seq Analysis Based on ProdDep Transformer Encoder,
251,Single-Cell Heterogeneity-Aware Transformer-Guided Multiple Instance Learning for Cancer Aneuploidy Prediction From Whole Slide Histopathology Images,
252,Contextual AI models for single-cell protein biology,
253,Single-cell gene regulatory network prediction by explainable AI,
254,Swin Transformer and Momentum Contrast (MoCo) in Leukemia Diagnostics: A New Paradigm in AI-Driven Blood Cell Cancer Classification,
255,Single-cell foundation models: bringing artificial intelligence into cell biology,
256,Bacteria detection and species identification at the single-cell level using super-resolution fluorescence imaging and AI analysis.,
257,Enhancing single-cell biology through advanced AI-powered microfluidics.,
258,Multi-Dimensional Spectral Geometry of Biological Knowledge in Single-Cell Transformer Representations,
259,Biosensors for single-cell mechanical characterization,
260,A Ligand-Centered Framework for γδ T Cell Activation in Colorectal Cancer Revealed by Single-Cell and Transformer-Based Perturbation,
261,Single-cell analysis and infectious disease forecasting: Google's new AI scientist,
262,SLECA: a single-cell atlas of systemic lupus erythematosus enabling rare cell discovery using graph transformer,
263,"Distributed Collaboration for Data, Analysis Pipelines, and Results in Single-Cell Omics",
264,Operation of Single-Delta Bridge-Cell Converter With Single-Phase Medium-Frequency Transformer Under Low Magnetizing Inductance,
265,Reviewer #2 (Public review): SCellBOW: AI-Driven Tumor Risk Stratification from Single-Cell Transcriptomics Using Phenotype Algebra,
266,eLife Assessment: SCellBOW: AI-Driven Tumor Risk Stratification from Single-Cell Transcriptomics Using Phenotype Algebra,
267,AI-Enhanced Nanoparticle Analysis: Integrating Single-Shot Object Detection and Vision Transformer for Rapid and Accurate Characterization,
268,Identifying spatial single-cell-level interactions with graph transformer,
269,Web-Based Application Design to Differentiate AI-Generated Videos from Original Videos Using Transformer Method,
270,Separable Spatial Single-cell Transcriptome Representation Learning via Graph Transformer and Hyperspherical Prototype Clustering,
271,scTGCL: A Transformer-Based Graph Contrastive Learning Approach for Efficiently Clustering Single-Cell RNA-seq Data,
272,A Single-stage Interpretable Vision Transformer Model Via Granular-ball Computing,
273,Transformer,
274,The Role of Transformer Models in Cloud AI Services,
275,GeoViTMamba: A Hybrid Vision Transformer and Transformer Decoder for Semantic Remote Sensing Image Captioning,
276,Robust Single-Cell RNA-Seq Analysis Using Hyperdimensional Computing: Enhanced Clustering and Classification Methods,
277,scSwin: a supervised cell-type annotation method for single-cell RNA sequencing data using Swin Transformer,
278,"Diverse Approaches, Common Goals Evident at Single-Cell/AI Symposium",
279,SCAPE: An AI-Driven Platform for Comprehensive Single-Cell Data Analysis,
280,Unsupervised generative AI discovers pan-leukocyte dysregulated pathways in single-cell lupus data,
281,Single-Cell Multimodal Integration,
282,Survey: Transformer based video-language pre-training,
283,CytoVerse: Single-Cell AI Foundation Models in the Browser,
284,"Live Eco-AI, Electrophoresis-Correlative Data-Dependent Acquisition with Artificial Intelligence-Based Data Processing Democratizes Single-Cell Mass Spectrometry Proteomics",
285,Efficient transformer architectures,
286,Distinguishing Malicious Drones Using Vision Transformer,
287,Nowcasting Earthquakes with QuakeGPT An AI-Enhanced Earthquake Generative Pretrained Transformer,
288,[WITHDRAWN] AI-Driven Fraud Detection in Payments Using Transformer-Based Behavioral Modeling,
289,AI-Driven Tax Analytics with Transformer-Based Text Mining,
290,Empowering Healthcare With AI-Driven Transformer Models,
291,Multi-agent AI enables evidence-based cell annotation in single-cell transcriptomics,
292,SCTGE infers transformer-based graph embeddings to improve cell-cell interaction identification and cell identity annotations.,
293,GRNFormer: accurate gene regulatory network inference using graph transformer.,
294,Parameter-free representations outperform single-cell foundation models on downstream benchmarks.,
295,SpaLSTF: Diffusion-based generative model with BiLSTM and XCA-Transformer for spatial transcriptomics imputation.,
296,CeLLTra: aligning cell names with gene expression via a pathway-informed transformer.,
297,Deciphering hierarchical regulatory network of cell fate via an epigenetics-informed heterogeneous graph transformer on single-cell multi-omics data.,
298,scPlantAnnotate: an accurate and robust transformer-based model for plant cell type annotation.,
299,GCLSC: Single-cell clustering model based on graph contrastive learning.,
300,MR-DELTAnet: A Longitudinal MRI-Transformer Model Predicting Pathological Complete Response and Revealing Immune Microenvironment via scRNA-seq in Locally Advanced Rectal Cancer.,
301,CausalGenDiff: Generative causal diffusion bridges scRNA-seq and spatial transcriptomics.,
302,Scaling transformers to high-dimensional sparse data: a Reformer-BERT approach for large-scale classification.,
303,Comparative Single-Cell Transcriptomics Uncovers Shared and Distinct Molecular Signatures in Cystic Fibrosis and Primary Ciliary Dyskinesia.,
304,Transformer and graph variational autoencoder to identify microenvironments: A deep learning protocol for spatial transcriptomics.,
305,Attention-Guided Probabilistic Diffusion Model for Generating Cell-Type-Specific Gene Regulatory Networks from Gene Expression Profiles.,
306,Heimdall: A Modular Framework for Tokenization in Single-Cell Foundation Models.,
307,Atacformer: A transformer-based foundation model for analysis and interpretation of ATAC-seq data.,
308,Nephrobase Cell+: Multimodal Single-Cell Foundation Model for Decoding Kidney Biology.,
309,GT-GRN: a graph transformer framework for enhanced gene regulatory network inference via multimodal embedding of expression data and existing network knowledge.,
310,Branch-specific gene discovery in cell differentiation using multi-omics graph attention.,
311,From pixels to cell types: a comprehensive review of computational methods for spatial transcriptomics deconvolution.,
312,scMapNet: Marker-based cell type annotation of scRNA-seq data via vision transfer learning with tabular-to-image transformations.,
313,Cross-modal contrastive learning decodes developmental regulatory features through chromatin potential analysis.,
314,Bioinformatics Analysis of Tumor-Associated Macrophages in Hepatocellular Carcinoma and Establishment of a Survival Model Based on Transformer.,
315,scHDeepInsight: a hierarchical deep learning framework for precise immune cell annotation in single-cell RNA-seq data.,
316,Cisformer: a scalable cross-modality generation framework for decoding transcriptional regulation at single-cell resolution.,
317,HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics Data.,
